,cell,X_coord,step,time,expression,alpha,k_s,p_s,delta,lambda,tau,run
952,cell_126,6,86,3.44,9.681592870394782e-07,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
953,cell_181,7,86,3.44,9.681592870394782e-07,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
954,cell_240,8,86,3.44,9.681592870394782e-07,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
955,cell_296,9,86,3.44,9.68159287034302e-07,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
956,cell_351,10,86,3.44,9.681566331804585e-07,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
957,cell_000,0,87,3.48,0.9999999999999999,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
958,cell_003,1,87,3.48,0.14418203430817214,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
959,cell_015,2,87,3.48,0.002087400223624797,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
960,cell_035,3,87,3.48,1.1221651253087743e-06,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
961,cell_057,4,87,3.48,9.694104464317805e-07,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
962,cell_086,5,87,3.48,9.69410411601403e-07,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
963,cell_126,6,87,3.48,9.694104116014e-07,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
964,cell_181,7,87,3.48,9.694104116014e-07,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
965,cell_240,8,87,3.48,9.694104116014e-07,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
966,cell_296,9,87,3.48,9.694104115960647e-07,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
967,cell_351,10,87,3.48,9.694077281133005e-07,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
968,cell_000,0,88,3.52,0.9999999999999999,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
969,cell_003,1,88,3.52,0.14473174722335921,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
970,cell_015,2,88,3.52,0.002128479186978827,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
971,cell_035,3,88,3.52,1.1331611806830552e-06,0.5,0.31622776601683794,2.0,0.0,1e-06,0.4,3
