,frame,avg. speed,movie,plating density,replicate,time (hr),density
342,60,1.0568633630965851,80000 cells B.avi,80000,B,60,565
343,70,0.7148292722325825,80000 cells B.avi,80000,B,70,610
344,80,0.6688851001009569,80000 cells B.avi,80000,B,80,881
345,90,0.6969753019989301,80000 cells B.avi,80000,B,90,666
346,100,0.478259386654711,80000 cells B.avi,80000,B,100,520
347,110,0.4266849138792917,80000 cells B.avi,80000,B,110,500
348,120,0.4411562948630156,80000 cells B.avi,80000,B,120,521
349,130,0.35303742495908097,80000 cells B.avi,80000,B,130,502
350,140,0.332125939113013,80000 cells B.avi,80000,B,140,340
351,150,0.3398711167318725,80000 cells B.avi,80000,B,150,289
352,0,1.761983029720572,80000 cells C.avi,80000,C,0,598
353,10,1.174769408483129,80000 cells C.avi,80000,C,10,242
354,20,1.007781319648347,80000 cells C.avi,80000,C,20,185
355,30,1.273172289272235,80000 cells C.avi,80000,C,30,421
356,40,1.406098391872046,80000 cells C.avi,80000,C,40,619
357,50,1.1851314842090779,80000 cells C.avi,80000,C,50,700
358,60,1.1600243693185108,80000 cells C.avi,80000,C,60,564
359,70,1.0430245717210185,80000 cells C.avi,80000,C,70,481
360,80,0.9085159808612212,80000 cells C.avi,80000,C,80,490
361,90,0.7463300826423658,80000 cells C.avi,80000,C,90,410
362,100,0.50729789148611,80000 cells C.avi,80000,C,100,272
363,110,0.5673988975182972,80000 cells C.avi,80000,C,110,427
364,120,0.4746358938526303,80000 cells C.avi,80000,C,120,262
365,130,0.39885006587030936,80000 cells C.avi,80000,C,130,185
366,140,0.28382882458231123,80000 cells C.avi,80000,C,140,443
367,150,0.2543836923966235,80000 cells C.avi,80000,C,150,579
